dia,periodo,tipo_entrega,borda,refrigerante,valor_total,tempo
sexta,Inicio,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
sexta,Inicio,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sexta,Inicio,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 33-44"
sexta,Inicio,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sexta,Inicio,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
sexta,Inicio,Entrega,"borda nao","refrigerante sim","vl 30-34","tp 33-44"
sexta,Inicio,Buscar,"borda sim","refrigerante nao","vl 30-34","tp 10-22"
sexta,Pico,Entrega,"borda nao","refrigerante sim","vl 34-38","tp 22-33"
sexta,Pico,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
sexta,Pico,buscar,"borda nao","refrigerante nao","vl 18-22","tp 33-44"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 44-55"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 10-22"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 14-18","tp 44-55"
sexta,Pico,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 33-44"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
sexta,Pico,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
sexta,Pico,Entrega,"borda sim","refrigerante nao","vl 34-38","tp 33-44"
sexta,Pico,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 33-44"
sexta,Final,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
sexta,Final,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 22-33"
sexta,Final,Buscar,"borda nao","refrigerante nao","vl 10-14","tp 22-33"
sábado,Inicio,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 10-22"
sábado,Inicio,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 22-33"
sábado,Inicio,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 33-44"
sábado,Inicio,Buscar,"borda sim","refrigerante nao","vl 30-34","tp 33-44"
sábado,Inicio,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 10-22"
sábado,Inicio,Buscar,"borda nao","refrigerante sim","vl 22-26","tp 22-33"
sábado,Inicio,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 33-44"
sábado,Inicio,Entrega,"borda nao","refrigerante sim","vl 34-38","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 26-30","tp 22-33"
sábado,Pico,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 22-33"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 22-33"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante sim","vl 38-42","tp 44-55"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante sim","vl 38-42","tp 44-55"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 26-30","tp 33-44"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 44-55"
sábado,Pico,Entrega,"borda sim","refrigerante nao","vl 34-38","tp 44-55"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 26-30","tp 22-33"
sábado,Pico,Entrega,"borda nao","refrigerante nao","vl 26-30","tp 22-33"
sábado,Final,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
sábado,Final,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
domingo,Inicio,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
domingo,Inicio,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 22-33"
domingo,Inicio,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
domingo,Inicio,Buscar,"borda nao","refrigerante nao","vl 18-22","tp 33-44"
domingo,Inicio,Entrega,"borda nao","refrigerante sim","vl 38-42","tp 33-44"
domingo,Inicio,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 44-55"
domingo,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
domingo,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
domingo,Pico,Entrega,"borda nao","refrigerante sim","vl 34-38","tp 44-55"
